number of rooms,security level of the community,residence space,building space,noise level,view,air quality level,exchange rate,price range,house_age,decorate_age,space_ratio,room_space,median_rank_zip code,median_rank_city,mean_rank_zip code,mean_rank_city
5,2.5,2820,67518,2.0,0,3,6.784829586,3,35,0,1.0,470.0,3.0,3.0,2.9080459770114944,2.893854748603352
2,1.0,1210,9400,1.0,0,2,6.24312897,1,65,65,1.0,403.3333333333333,2.0,2.0,1.6,2.4857142857142858
4,2.5,2200,9397,2.0,0,3,6.010127234,1,27,14,1.0,440.0,1.0,1.0,1.2321428571428572,1.4172185430463575
3,1.5,1200,9720,1.0,0,4,7.560375075,1,49,49,1.0,300.0,1.0,1.0,1.5168539325842696,1.4444444444444444
3,1.75,1370,5858,1.0,0,3,6.543940818,1,27,14,1.0,342.5,1.0,1.0,1.510204081632653,1.4807692307692308
4,2.0,1480,8625,1.0,0,4,6.685126872,1,40,40,1.0,296.0,2.0,2.0,1.68,1.9136690647482015
3,1.5,1180,10277,1.0,0,3,7.796227913,1,31,5,1.0,295.0,2.0,2.0,1.8,1.8
3,2.5,2090,10834,1.0,0,4,7.628943769,1,27,27,0.6507177033492823,522.5,1.0,1.0,1.4042553191489362,1.408450704225352
3,3.0,1850,19966,1.0,0,4,7.825561964,1,22,22,0.5891891891891892,462.5,2.0,2.0,1.7173913043478262,1.7173913043478262
2,2.5,1630,1368,2.0,0,3,7.553219422,1,5,5,0.7852760736196319,543.3333333333334,2.0,2.0,1.6,2.4857142857142858
3,2.5,2540,5050,2.0,0,3,6.911986808,2,8,8,1.0,635.0,1.0,1.0,1.5168539325842696,1.4444444444444444
2,1.0,850,6174,1.0,0,4,6.249731803,2,64,31,1.0,283.3333333333333,2.0,2.0,1.9651162790697674,1.9834710743801653
3,1.0,1160,9180,1.0,0,3,7.301034319,2,46,17,1.0,290.0,3.0,3.0,3.0208333333333335,2.8454545454545452
3,2.25,1580,16215,1.0,0,4,7.1345454,2,36,14,1.0,395.0,2.0,2.0,2.857142857142857,2.857142857142857
2,2.0,1350,2560,1.0,0,3,6.740098473,2,38,38,1.0,450.0,3.0,3.0,3.1297709923664123,3.179372197309417
3,2.0,1930,11947,1.0,0,4,7.405652509,2,48,48,1.0,482.5,1.0,1.0,1.5168539325842696,1.4444444444444444
3,1.0,1090,6435,1.0,0,4,6.221002758,2,59,5,1.0,272.5,2.0,2.0,1.6,2.4857142857142858
4,3.0,3110,7231,2.0,0,3,7.246575816,2,17,17,1.0,622.0,2.0,1.0,1.7352941176470589,1.4172185430463575
4,1.75,1560,8700,1.0,0,4,7.027655904,2,47,47,1.0,312.0,2.0,3.0,2.3195876288659796,2.76878612716763
3,3.25,1320,1327,2.0,0,3,6.712977807,2,6,6,0.7878787878787878,330.0,3.0,2.0,3.1875,2.4857142857142858
3,2.0,1960,13100,1.0,2,5,7.749723765,2,57,57,0.8418367346938775,490.0,2.0,2.0,2.0185185185185186,2.3125
3,2.5,1930,10460,2.0,0,3,6.378198211,2,18,18,1.0,482.5,2.0,2.0,2.4705882352941178,1.9136690647482015
3,1.5,1570,6700,1.0,0,4,7.903107225,2,58,58,1.0,392.5,3.0,3.0,3.1621621621621623,3.2899159663865545
3,2.25,2000,8030,1.0,0,4,6.369354964,2,51,51,0.5,500.0,3.0,3.0,2.840909090909091,3.2899159663865545
4,1.5,1920,10000,1.0,0,4,6.441283761,2,60,35,0.5572916666666666,384.0,4.0,3.0,3.323809523809524,3.2899159663865545
4,1.0,1450,8800,1.0,0,4,6.708046609,2,60,35,1.0,290.0,4.0,3.0,3.323809523809524,3.2899159663865545
3,2.5,1770,1235,3.0,0,3,6.020616795,2,7,7,0.903954802259887,442.5,3.0,2.0,2.725,2.4857142857142858
3,2.25,1970,35100,2.0,0,4,6.843867937,2,37,37,1.0,492.5,3.0,3.0,2.8764044943820224,2.893854748603352
3,2.5,1770,2875,2.0,0,3,6.761138743,2,24,5,1.0,442.5,3.0,2.0,2.9814814814814814,2.4857142857142858
4,2.25,2160,8119,1.0,0,3,7.235229142,2,48,48,0.5,432.0,4.0,3.0,3.323809523809524,3.2899159663865545
3,2.5,1270,1180,3.0,0,3,6.517622688,2,13,13,1.0,317.5,3.0,2.0,2.8205128205128207,2.4857142857142858
3,2.5,2680,5539,2.0,0,3,7.433178443,2,1,1,1.0,670.0,2.0,2.0,1.8,1.8
3,1.75,1710,7320,1.0,0,3,7.396501561,2,66,20,1.0,427.5,2.0,2.0,1.9651162790697674,2.3529411764705883
5,2.5,2210,9655,1.0,0,3,7.394445538,2,38,38,0.6606334841628959,368.3333333333333,2.0,2.0,2.4375,2.4242424242424243
4,2.5,2710,35868,2.0,0,3,6.608323589,2,25,25,1.0,542.0,2.0,2.0,1.7173913043478262,1.7173913043478262
4,1.75,2190,125452,1.0,2,3,7.678168411,2,46,17,1.0,438.0,2.0,1.0,1.7352941176470589,1.4172185430463575
4,1.75,1600,6380,1.0,0,3,6.477085168,2,55,25,0.70625,320.0,2.0,2.0,2.2093023255813953,2.4857142857142858
4,2.5,2860,3345,2.0,0,3,6.955319279,2,10,10,0.7657342657342657,572.0,3.0,3.0,2.7096774193548385,2.8454545454545452
3,1.75,2910,35200,1.5,0,3,6.563174597,3,35,0,1.0,727.5,4.0,3.0,3.539473684210526,3.2621951219512195
4,2.5,1940,10500,1.0,0,4,7.562160105,3,38,22,0.5876288659793815,388.0,3.0,3.0,3.1297709923664123,3.179372197309417
4,2.5,3310,6500,2.0,0,3,7.959386377,3,2,2,1.0,662.0,3.0,3.0,2.727272727272727,2.727272727272727
3,1.75,2330,14892,1.0,0,3,7.095021468,3,34,34,0.8454935622317596,582.5,3.0,3.0,3.032258064516129,3.2621951219512195
3,2.5,3240,33151,2.0,2,3,6.70055996,3,19,19,1.0,810.0,1.0,1.0,1.4065934065934067,1.408450704225352
4,2.5,2730,12261,2.0,0,3,6.914442703,3,23,23,1.0,546.0,2.0,2.0,2.4375,2.4242424242424243
3,1.75,2360,7291,1.0,0,4,6.317630578,3,66,66,0.576271186440678,590.0,2.0,2.0,2.510204081632653,2.4857142857142858
4,3.25,2730,54014,1.0,0,3,6.859682624,3,7,7,0.5714285714285714,546.0,2.0,2.0,2.4705882352941178,1.9136690647482015
4,2.5,2820,8408,2.0,0,3,6.36074285,3,0,0,1.0,564.0,2.0,2.0,1.9651162790697674,1.9834710743801653
3,2.25,1750,1572,2.5,0,3,6.605479643,3,9,9,0.84,437.5,3.0,2.0,3.4615384615384617,2.4857142857142858
4,2.75,2710,37277,2.0,0,3,6.070141424,3,14,14,1.0,542.0,3.0,3.0,2.8764044943820224,2.893854748603352
4,2.0,1520,6200,1.5,0,3,7.608990677,3,69,4,1.0,304.0,3.0,2.0,2.9158878504672896,2.4857142857142858
4,2.0,1820,5000,1.5,1,3,6.552606479,3,69,4,0.9010989010989011,364.0,3.0,2.0,2.9158878504672896,2.4857142857142858
4,2.25,2200,11250,1.5,0,5,6.54788932,3,94,94,0.5909090909090909,440.0,4.0,3.0,3.324675324675325,2.76878612716763
3,2.5,2390,6550,1.0,2,4,7.685164244,4,59,5,0.602510460251046,597.5,3.0,2.0,2.9814814814814814,2.4857142857142858
3,1.75,2240,10578,2.0,0,5,6.218582162,4,91,91,0.6919642857142857,560.0,3.0,2.0,2.9158878504672896,2.4857142857142858
5,3.25,3660,11995,2.0,2,3,7.802356216,4,8,8,1.0,610.0,3.0,3.0,2.727272727272727,2.727272727272727
3,2.5,2600,4750,1.0,0,4,6.490620422,4,63,15,0.6538461538461539,650.0,3.0,2.0,2.71,2.4857142857142858
3,2.0,2710,4500,1.5,0,4,6.182380239,4,85,85,0.6937269372693727,677.5,3.0,2.0,2.9158878504672896,2.4857142857142858
4,2.5,3310,42998,2.0,0,3,7.868323021,4,13,13,1.0,662.0,3.0,3.0,3.1297709923664123,3.179372197309417
5,2.75,2910,9480,1.5,0,3,6.85237045,4,75,45,1.0,485.0,3.0,2.0,3.303030303030303,2.4857142857142858
3,1.0,1010,9945,1.0,0,4,6.4636882,2,41,41,1.0,252.5,3.0,3.0,2.727272727272727,2.727272727272727
3,2.5,1650,14054,1.0,0,4,6.520531852,2,28,28,0.6848484848484848,412.5,3.0,3.0,2.8764044943820224,2.893854748603352
4,2.75,2920,6605,2.0,0,3,6.836105688,3,2,2,1.0,584.0,2.0,2.0,2.4705882352941178,1.9136690647482015
4,2.5,2530,9933,2.0,2,3,7.073425123,2,24,5,0.7944664031620553,506.0,2.0,1.0,1.7352941176470589,1.4172185430463575
3,2.5,2200,7350,1.0,0,5,6.046779165,2,26,26,0.7136363636363636,550.0,2.0,2.0,1.7666666666666666,1.9136690647482015
4,2.0,2280,6010,1.0,0,3,6.270899122,3,114,9,0.5,456.0,3.0,2.0,2.688888888888889,2.4857142857142858
2,2.5,2680,7392,1.0,0,3,6.055589845,4,10,10,1.0,893.3333333333334,3.0,3.0,3.2444444444444445,3.179372197309417
3,2.5,2850,7130,2.0,0,3,6.243772672,4,34,34,0.6982456140350877,712.5,3.0,2.0,2.688888888888889,2.4857142857142858
2,1.0,810,7158,1.0,0,5,7.296828326,1,70,70,1.0,270.0,1.0,1.0,1.1551724137931034,1.7058823529411764
4,1.5,1240,9600,1.0,0,3,7.591894639,1,43,43,1.0,248.0,1.0,1.0,1.4065934065934067,1.408450704225352
2,1.0,1200,8063,1.0,0,4,7.72684238,1,56,42,1.0,400.0,1.0,1.0,1.510204081632653,1.4807692307692308
3,1.75,1920,9306,1.0,0,3,6.049017282,1,30,30,0.5208333333333334,480.0,1.0,1.0,1.2321428571428572,1.4172185430463575
3,2.0,1550,15040,1.0,0,4,6.858465508,1,56,42,1.0,387.5,2.0,2.0,2.4705882352941178,1.9136690647482015
3,1.0,1450,6000,1.0,0,4,6.775490428,1,61,31,1.0,362.5,2.0,2.0,2.116883116883117,2.4857142857142858
3,2.0,1050,10072,1.0,0,3,6.198315033,2,28,28,1.0,262.5,2.0,2.0,2.0588235294117645,2.0588235294117645
4,2.75,2310,5000,2.0,0,3,7.595682627,2,8,8,1.0,462.0,2.0,2.0,1.7173913043478262,1.7173913043478262
3,2.5,1880,7838,2.0,0,3,6.974961159,2,20,20,1.0,470.0,2.0,2.0,1.68,1.9136690647482015
4,2.5,2370,6500,2.0,0,3,6.745857027,2,16,8,1.0,474.0,2.0,1.0,1.7352941176470589,1.4172185430463575
2,1.0,1140,5250,1.5,0,4,6.577604475,2,65,29,1.0,380.0,2.0,2.0,1.8876404494382022,2.4857142857142858
