,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,1.382297968864441,1.3823729753494265,0.3375,0.36
1,1.369532299041748,1.3721978664398191,0.3769,0.3475
2,1.3509389877319335,1.3542351126670835,0.3769,0.3475
3,1.3403568506240844,1.3593938946723938,0.3769,0.3475
4,1.3351569890975952,1.344639241695404,0.3769,0.3475
5,1.326114058494568,1.3354849815368652,0.3769,0.3475
6,1.314155435562134,1.3222274780273438,0.3769,0.3475
7,1.2900539875030517,1.295664370059967,0.3808,0.355
8,1.2473746061325073,1.2463220357894895,0.5186,0.53
9,1.213911199569702,1.2160561084747314,0.5044,0.5175
10,1.2309385776519777,1.2076758742332458,0.5006,0.53
11,1.2069276809692382,1.1786043643951416,0.5103,0.55
12,1.2011013507843018,1.1907292604446411,0.5231,0.56
13,1.1786180019378665,1.1682186126708984,0.5581,0.575
14,1.1703997135162354,1.14418762922287,0.5744,0.625
15,1.1544790506362914,1.1503397226333618,0.5806,0.5975
16,1.1474790811538695,1.1139254570007324,0.5803,0.6175
17,1.144978666305542,1.132410705089569,0.5897,0.6025
18,1.1591842412948608,1.0902199745178225,0.5806,0.66
19,1.1466760158538818,1.1508044600486755,0.58,0.5775
20,1.135364818572998,1.0960886478424072,0.6047,0.64
21,1.1265292167663574,1.1009521484375,0.6067,0.625
22,1.1243924856185914,1.120852530002594,0.6094,0.615
23,1.1256087303161622,1.08579021692276,0.6089,0.655
24,1.1144866943359375,1.1023141741752625,0.6239,0.635
25,1.1080689668655397,1.0922187566757202,0.6283,0.645
26,1.1037819147109986,1.0996240973472595,0.6292,0.62
27,1.112796187400818,1.1055248379707336,0.6328,0.6325
28,1.1024557113647462,1.0809497237205503,0.6347,0.6625
29,1.1009191751480103,1.104133129119873,0.6431,0.6125
30,1.0990386486053467,1.085947334766388,0.6489,0.6525
31,1.093096089363098,1.080946922302246,0.6511,0.665
32,1.0901187896728517,1.102195143699646,0.6475,0.6225
33,1.093738579750061,1.063567876815796,0.6367,0.67
34,1.0942408084869384,1.1013715267181396,0.6442,0.6325
35,1.0900049448013305,1.0545662641525269,0.6394,0.6875
36,1.0895727396011352,1.0904991626739502,0.6519,0.64
37,1.076320457458496,1.0814875364303589,0.6592,0.655
38,1.074733543395996,1.0860198140144348,0.6594,0.6675
39,1.0791841268539428,1.0822948813438416,0.6628,0.645
40,1.0703855752944946,1.0763493776321411,0.67,0.66
41,1.0695957899093629,1.0820114016532898,0.6744,0.6575
42,1.0711942672729493,1.084333896636963,0.6711,0.645
43,1.07919442653656,1.0735576152801514,0.6667,0.6675
44,1.076349186897278,1.0790040493011477,0.6667,0.655
45,1.0675503730773923,1.0838055610656738,0.6731,0.6525
46,1.0627891063690185,1.0741374492645264,0.6783,0.6575
47,1.0689701080322265,1.0805728435516355,0.6747,0.6525
48,1.058627676963806,1.0705000162124634,0.6778,0.665
49,1.062087392807007,1.0820508003234863,0.6828,0.645
50,1.0660579204559326,1.0815288424491882,0.6792,0.65
51,1.0632510662078858,1.078966200351715,0.6844,0.6475
52,1.0517401456832889,1.0768569707870483,0.6872,0.66
53,1.0551288604736329,1.0800939798355105,0.6897,0.6575
54,1.0514792442321776,1.0896164774894714,0.6919,0.6525
55,1.0471733570098878,1.0849704146385193,0.6967,0.65
56,1.046624493598938,1.1007509231567385,0.6961,0.6275
57,1.047120356559753,1.083588182926178,0.6969,0.655
58,1.04590265750885,1.0895113348960876,0.6972,0.6375
