,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,1.3841968059539795,1.3840176463127136,0.2333,0.25
1,1.3778556346893311,1.378445565700531,0.3453,0.3225
2,1.3641897439956665,1.3690714836120603,0.3764,0.3425
3,1.3380425930023194,1.3541458249092102,0.3769,0.3475
4,1.3218392610549927,1.347116470336914,0.3769,0.3475
5,1.3142220497131347,1.347244143486023,0.3769,0.3475
6,1.3218700885772705,1.3397706747055054,0.3769,0.3475
7,1.3047989845275878,1.3303211331367493,0.3872,0.365
8,1.3120562791824342,1.3235473036766052,0.42,0.4125
9,1.2986193418502807,1.3144752383232117,0.4228,0.4175
10,1.279671597480774,1.3031198978424072,0.4403,0.425
11,1.2732455492019654,1.290463924407959,0.4722,0.45
12,1.2547772645950317,1.277482807636261,0.4803,0.445
13,1.2438610792160034,1.2674996256828308,0.4861,0.4525
14,1.227697205543518,1.2602351307868958,0.4872,0.4525
15,1.2165506839752198,1.2569454312324524,0.5203,0.4575
16,1.2026752948760986,1.2519395351409912,0.5261,0.47
17,1.1940961837768556,1.2486087083816528,0.5372,0.49
18,1.1929386377334594,1.2449191212654114,0.5461,0.4725
19,1.1897202253341674,1.2422029972076416,0.5539,0.5
20,1.1847540616989136,1.2414228916168213,0.5475,0.48
21,1.1811192989349366,1.2413215041160583,0.5486,0.495
22,1.1812963008880617,1.23891282081604,0.5542,0.4925
23,1.177981686592102,1.2339670658111572,0.5553,0.5025
24,1.1739761114120484,1.23100346326828,0.5564,0.5
25,1.1698164463043212,1.2268264889717102,0.5611,0.5075
26,1.165604591369629,1.2205422520637512,0.5642,0.5075
27,1.1668997764587403,1.217843472957611,0.5639,0.515
28,1.164417839050293,1.2160894274711609,0.5694,0.5075
29,1.1639763832092285,1.217061460018158,0.5764,0.5125
30,1.158346128463745,1.2177327871322632,0.5767,0.5125
31,1.1551703453063964,1.2142335772514343,0.5819,0.52
32,1.157455039024353,1.215522825717926,0.5794,0.5225
33,1.1553637027740478,1.215992510318756,0.5811,0.515
34,1.1562923908233642,1.2162761092185974,0.5714,0.5125
35,1.1516404390335082,1.217377245426178,0.5769,0.505
36,1.1531704187393188,1.2131094932556152,0.575,0.5075
37,1.1530339002609251,1.2144204378128052,0.5792,0.5125
38,1.152792477607727,1.2161579728126526,0.5731,0.505
39,1.1572395086288452,1.213847279548645,0.5786,0.5175
40,1.150474977493286,1.2133179903030396,0.5817,0.5125
41,1.1527951955795288,1.2132967710494995,0.5897,0.5225
42,1.1526647567749024,1.2140779495239258,0.5828,0.5075
43,1.1516560316085815,1.2117023468017578,0.5883,0.5275
44,1.1538820266723633,1.214306354522705,0.58,0.5075
45,1.149334764480591,1.2134560346603394,0.5794,0.5125
46,1.148964762687683,1.209595024585724,0.5894,0.52
47,1.1521891593933105,1.2068748474121094,0.5872,0.53
48,1.1418732166290284,1.2078396081924438,0.5872,0.5175
49,1.1426434755325316,1.2101462483406067,0.5847,0.51
50,1.1458337783813477,1.211588442325592,0.5883,0.5175
51,1.147838258743286,1.2101887464523315,0.5889,0.5075
52,1.1446508884429931,1.205355703830719,0.5886,0.5275
53,1.142502450942993,1.2046429514884949,0.5928,0.51
54,1.137606191635132,1.203956961631775,0.5894,0.5325
55,1.1377363681793211,1.204297125339508,0.5931,0.5175
56,1.141667366027832,1.2050479054450989,0.5919,0.51
57,1.1436651706695558,1.2048901319503784,0.5883,0.5275
58,1.1368107318878171,1.2062299251556396,0.5875,0.53
59,1.141701865196228,1.202368140220642,0.5917,0.5275
60,1.1411264896392823,1.2056767344474792,0.5878,0.5325
61,1.1377546548843385,1.2022836804389954,0.5972,0.53
62,1.1400755882263185,1.202140986919403,0.5942,0.5425
63,1.1392088413238526,1.1988207697868347,0.5964,0.53
64,1.1353426694869997,1.1977092623710632,0.6072,0.54
65,1.1299813985824585,1.1961538195610046,0.6003,0.5375
66,1.135714769363403,1.2012020349502563,0.615,0.5225
67,1.1362361431121826,1.1995981335639954,0.6039,0.525
68,1.129877519607544,1.1941676139831543,0.5989,0.525
69,1.1286096334457398,1.1933243870735168,0.6067,0.5225
70,1.1308770179748535,1.1927647590637207,0.6125,0.5325
71,1.1255995750427246,1.186072587966919,0.6122,0.5625
72,1.1251624584198,1.186699628829956,0.6192,0.55
73,1.123111319541931,1.190255880355835,0.6117,0.54
74,1.1310331583023072,1.187717854976654,0.6103,0.545
75,1.126507043838501,1.18256938457489,0.6189,0.5325
76,1.1197502374649049,1.1829293370246887,0.6289,0.5575
77,1.1186240196228028,1.178917646408081,0.6242,0.5425
78,1.1198463916778565,1.1809577941894531,0.6153,0.545
79,1.1212572574615478,1.1850934624671936,0.6264,0.55
80,1.115158534049988,1.1800466179847715,0.6294,0.545
81,1.1116222143173218,1.1715310215950012,0.6319,0.5675
82,1.1106398105621338,1.1722108125686646,0.6431,0.5725
83,1.1148671627044675,1.175803542137146,0.635,0.56
84,1.1179354667663577,1.167920708656311,0.63,0.57
85,1.1068527221679687,1.1669267416000366,0.6389,0.5725
86,1.111018681526184,1.1739301085472107,0.6344,0.5675
87,1.1058560848236083,1.177473068237305,0.6353,0.55
88,1.1090637922286988,1.1795068383216858,0.635,0.55
89,1.1105478286743165,1.1665488481521606,0.6403,0.5875
90,1.102352499961853,1.169954240322113,0.6494,0.555
91,1.100164270401001,1.1696311235427856,0.6419,0.555
92,1.1015623092651368,1.1649949550628662,0.6433,0.5675
93,1.0924606323242188,1.1631299257278442,0.6522,0.5775
94,1.086662721633911,1.1508496403694153,0.6519,0.58
95,1.1044817447662354,1.1708667278289795,0.6422,0.5675
96,1.0917538166046143,1.157684087753296,0.6561,0.5775
97,1.1078564882278443,1.1692285537719729,0.6267,0.55
98,1.1240571737289429,1.184005856513977,0.6133,0.5425
99,1.1053545713424682,1.1689218878746033,0.6364,0.5725
100,1.101831245422363,1.178916037082672,0.64,0.56
101,1.1020568370819093,1.172576069831848,0.6297,0.555
102,1.089013409614563,1.1587312817573547,0.6494,0.585
103,1.0862378120422362,1.1632643342018127,0.6542,0.5725
104,1.0801579713821412,1.1519741415977478,0.6525,0.585
105,1.0798299789428711,1.1511170268058777,0.6619,0.5975
106,1.105489182472229,1.1843942999839785,0.6308,0.5275
107,1.0859189748764038,1.1496692299842834,0.6631,0.595
108,1.084779691696167,1.1528649926185608,0.6583,0.585
109,1.0819202423095704,1.1589521765708923,0.6664,0.5875
110,1.072331476211548,1.1458327174186709,0.6689,0.605
111,1.0760131359100342,1.1630915403366089,0.6697,0.5825
112,1.07594735622406,1.1450971364974976,0.6794,0.595
113,1.0690785884857177,1.1485257744789124,0.6781,0.595
114,1.0748043060302734,1.1551108360290527,0.6717,0.585
115,1.0648674488067629,1.152669608592987,0.6889,0.575
116,1.067435693740845,1.1429595947265625,0.6881,0.6
117,1.08116934299469,1.154394447803497,0.6647,0.59
118,1.0612907648086547,1.145572006702423,0.6819,0.595
119,1.0688501119613647,1.1565361618995669,0.6814,0.5825
120,1.0611334800720216,1.1364321112632751,0.6858,0.6075
121,1.072527861595154,1.153760015964508,0.6756,0.5975
122,1.0816255331039428,1.1521544456481934,0.6658,0.59
123,1.0582570552825927,1.1476131677627563,0.69,0.5975
124,1.0589418411254885,1.1386640667915344,0.6936,0.5925
125,1.0536174058914185,1.1325510740280151,0.6986,0.5975
126,1.064879512786865,1.148228645324707,0.6792,0.585
127,1.056421446800232,1.1330301761627195,0.6919,0.6
128,1.0499362230300904,1.1399464011192322,0.6897,0.6
129,1.05176784992218,1.1305908560752869,0.6967,0.6175
130,1.0479190349578855,1.1211245656013489,0.7011,0.62
131,1.0475987195968628,1.1227695941925049,0.7028,0.615
132,1.0480370759963988,1.1323364973068235,0.7028,0.605
133,1.0431439638137818,1.125969648361206,0.7083,0.6075
134,1.0441941022872925,1.127306342124939,0.7022,0.6175
135,1.0401084899902344,1.1292985081672668,0.7058,0.58
136,1.038844895362854,1.1149826645851135,0.7136,0.6275
137,1.0452380895614624,1.12004953622818,0.7019,0.62
138,1.0431734561920163,1.1131877303123474,0.7075,0.6325
139,1.0491868257522583,1.12347412109375,0.6914,0.63
140,1.033126711845398,1.1112037301063538,0.7167,0.63
141,1.0397112607955932,1.131097435951233,0.7067,0.6025
142,1.0481829643249512,1.1353915333747864,0.6933,0.59
143,1.0451472759246827,1.1205387115478516,0.6889,0.625
144,1.068071961402893,1.1620171070098877,0.6744,0.5725
145,1.0491577863693238,1.1404923796653748,0.6889,0.595
146,1.070151948928833,1.1365402936935425,0.6669,0.6025
147,1.066456627845764,1.157848596572876,0.6669,0.58
148,1.052247452735901,1.1102569699287417,0.6925,0.635
149,1.049019169807434,1.1282873749732971,0.6936,0.615
150,1.0410707235336305,1.1281535625457764,0.7025,0.6025
151,1.0394126653671265,1.1207858324050903,0.715,0.6125
152,1.0474899768829349,1.1339668035507202,0.6956,0.595
153,1.0375699281692503,1.1125109195709229,0.7069,0.625
154,1.0403305053710938,1.1179980039596558,0.7081,0.62
155,1.0351466417312625,1.1183767914772034,0.7064,0.6175
156,1.055888557434082,1.1426022052764893,0.6842,0.585
157,1.0352569818496704,1.1179466843605042,0.7122,0.625
158,1.0570377826690671,1.1231204271316528,0.685,0.6275
159,1.042103934288025,1.1159495115280151,0.7061,0.6275
160,1.0492790699005128,1.130775272846222,0.6961,0.5975
161,1.0272188186645508,1.1106476187705994,0.7172,0.6225
162,1.0306399583816528,1.108875811100006,0.7128,0.6375
163,1.023266625404358,1.1142045259475708,0.7178,0.605
164,1.068501591682434,1.1355274319648745,0.6725,0.605
165,1.035645055770874,1.1252506971359253,0.7133,0.6075
166,1.037549614906311,1.1195390820503237,0.7031,0.615
167,1.0431863069534302,1.116932034492493,0.7042,0.62
168,1.043367862701416,1.1280287504196167,0.7019,0.61
169,1.034968614578247,1.1215655207633972,0.7081,0.62
170,1.0326632261276243,1.1199898719787598,0.715,0.6175
171,1.0232043027877809,1.112179398536682,0.7244,0.6275
172,1.0282686710357667,1.1109189987182615,0.7147,0.64
173,1.0285401821136475,1.115257203578949,0.7247,0.615
174,1.0341155767440795,1.1261465549468994,0.7094,0.6
175,1.022699522972107,1.1193774342536926,0.7244,0.615
176,1.0255172729492188,1.112679362297058,0.7203,0.6225
177,1.0222598910331726,1.119372308254242,0.7167,0.6175
178,1.0242281436920166,1.1027022004127502,0.7222,0.6325
179,1.0223583102226257,1.1126214861869812,0.7294,0.6325
180,1.0285840392112733,1.1229853630065918,0.7144,0.5975
181,1.0217487812042236,1.1148631572723389,0.7211,0.62
182,1.024643325805664,1.1137184500694275,0.7208,0.625
183,1.025569248199463,1.1039105653762815,0.7231,0.6325
184,1.028192400932312,1.1286076307296753,0.7164,0.5975
185,1.0497737646102905,1.1244181990623474,0.6942,0.605
186,1.056535577774048,1.1217040419578552,0.6833,0.6175
187,1.0431370735168457,1.138380944728851,0.7047,0.5925
188,1.034106397628784,1.119848549365997,0.7083,0.615
189,1.0404235601425171,1.121726393699646,0.6972,0.625
