date,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,district,city,zip code,region,exchange rate,unit price of residence space,unit price of building space,total cost
2014/5/2 0:00,5,2.5,2820,67518,2,0,0,3,2820,0,1979,2014,23525 SE 32nd Way,Issaquah,WA 98029,USA,6.784829586,11.88640925,0.977028065,
2014/5/2 0:00,2,1,1210,9400,1,0,0,2,1210,0,1949,0,7542 21st Ave SW,Seattle,WA 98106,USA,6.24312897,25.68141395,0.698603269,
2014/5/2 0:00,4,2.5,2200,9397,2,0,0,3,2200,0,1987,2000,5214 S 292nd St,Auburn,WA 98001,USA,6.010127234,16.92117418,0.238881599,
2014/5/2 0:00,3,1.5,1200,9720,1,0,0,4,1200,0,1965,0,14034 SE 201st St,Kent,WA 98042,USA,7.560375075,19.63223009,0.876178201,
2014/5/2 0:00,3,1.75,1370,5858,1,0,0,3,1370,0,1987,2000,1605 S 245th Pl,Des Moines,WA 98198,USA,6.543940818,28.20592954,0.132471884,
2014/5/2 0:00,4,2,1480,8625,1,0,0,4,1480,0,1974,0,2019 Aberdeen Pl SE,Renton,WA 98055,USA,6.685126872,25.96572111,0.053685654,
2014/5/2 0:00,3,1.5,1180,10277,1,0,0,3,1180,0,1983,2009,12425 415th Ave SE,North Bend,WA 98045,USA,7.796227913,21.74038746,0.93605248,
2014/5/2 0:00,3,2.5,2090,10834,1,0,0,4,1360,730,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,USA,7.628943769,16.87338937,0.193127506,
2014/5/2 0:00,3,3,1850,19966,1,0,0,4,1090,760,1992,0,23017 SE 281st Ct,Maple Valley,WA 98038,USA,7.825561964,18.83909179,0.092553336,
2014/5/2 0:00,2,2.5,1630,1368,2,0,0,3,1280,350,2009,0,5944-6082 Delridge Way SW,Seattle,WA 98106,USA,7.553219422,23.9028731,0.069086583,
2014/5/2 0:00,3,2.5,2540,5050,2,0,0,3,2540,0,2006,0,29734 215th Terrace SE,Kent,WA 98042,USA,6.911986808,15.70129091,0.697342912,
2014/5/2 0:00,2,1,850,6174,1,0,0,4,850,0,1950,1983,121 NE 147th St,Shoreline,WA 98155,USA,6.249731803,57.84326105,0.031640154,
2014/5/2 0:00,3,1,1160,9180,1,0,0,3,1160,0,1968,1997,15804 198th Pl NE,Woodinville,WA 98077,USA,7.301034319,33.43470807,0.474979359,
2014/5/2 0:00,3,2.25,1580,16215,1,0,0,4,1580,0,1978,2000,4460 332nd Ave SE,Fall City,WA 98024,USA,7.1345454,28.85883307,0.083730018,
2014/5/2 0:00,2,2,1350,2560,1,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,6.740098473,35.48435314,0.702602026,
2014/5/2 0:00,3,2,1930,11947,1,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,7.405652509,20.84334658,0.498307684,
2014/5/2 0:00,3,1,1090,6435,1,0,0,4,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA,6.221002758,50.24078694,0.607576598,
2014/5/2 0:00,4,3,3110,7231,2,0,0,3,3110,0,1997,0,11224 SE 306th Pl,Auburn,WA 98092,USA,7.246575816,15.32751844,0.421107028,
2014/5/2 0:00,4,1.75,1560,8700,1,0,0,4,1560,0,1967,0,14104 119th Ave NE,Kirkland,WA 98034,USA,7.027655904,33.00711095,0.337554974,
2014/5/2 0:00,3,3.25,1320,1327,2,0,0,3,1040,280,2008,0,3400 21st Ave W,Seattle,WA 98199,USA,6.712977807,43.40835021,0.039619469,
2014/5/2 0:00,3,2,1960,13100,1,0,2,5,1650,310,1957,0,17825 4th Ave SW,Normandy Park,WA 98166,USA,7.749723765,23.58217739,0.441281361,
2014/5/2 0:00,3,2.5,1930,10460,2,0,0,3,1930,0,1996,0,4314 NE 6th Pl,Renton,WA 98059,USA,6.378198211,28.81902513,0.790516065,
2014/5/2 0:00,3,1.5,1570,6700,1,0,0,4,1570,0,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA,7.903107225,32.25730939,0.354200936,
2014/5/2 0:00,3,2.25,2000,8030,1,0,0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,6.369354964,29.94203141,0.754256584,
2014/5/2 0:00,4,1.5,1920,10000,1,0,0,4,1070,850,1954,1979,4071 156th Ave SE,Bellevue,WA 98006,USA,6.441283761,31.90292398,0.550326486,
2014/5/2 0:00,4,1,1450,8800,1,0,0,4,1450,0,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,USA,6.708046609,43.62533976,0.180766992,
2014/5/2 0:00,3,2.5,1770,1235,3,0,0,3,1600,170,2007,0,1156 N 93rd St,Seattle,WA 98103,USA,6.020616795,40.44578799,0.685874679,
2014/5/2 0:00,3,2.25,1970,35100,2,0,0,4,1970,0,1977,0,26069 SE 154th St,Issaquah,WA 98027,USA,6.843867937,19.12091102,0.748081035,
2014/5/2 0:00,3,2.5,1770,2875,2,0,0,3,1770,0,1990,2009,4458 51st Ave SW,Seattle,WA 98116,USA,6.761138743,35.57476509,0.731501019,
2014/5/2 0:00,4,2.25,2160,8119,1,0,0,3,1080,1080,1966,1913,12211 SE 65th St,Bellevue,WA 98006,USA,7.235229142,25.62363584,0.673297307,
2014/5/2 0:00,3,2.5,1270,1180,3,0,0,3,1270,0,2001,0,2640 NW 56th St,Seattle,WA 98107,USA,6.517622688,53.72856875,0.125887629,
2014/5/2 0:00,3,2.5,2680,5539,2,0,0,3,2680,0,2013,1923,13800 453rd Ave SE,North Bend,WA 98045,USA,7.433178443,21.16507251,0.931749041,
2014/5/2 0:00,3,1.75,1710,7320,1,0,0,3,1710,0,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,7.396501561,33.08325845,0.823058631,
